feature,importance
WB_GS_SP_POP_DPND,491
WB_GS_SP_DYN_LE60_IN,415
WB_GS_SP_DYN_LE00_IN,376
WB_GS_SP_POP_DPND_lag10,257
WB_GS_SP_DYN_LE60_IN_lag10,215
WB_GS_SE_SEC_ENRL_VO,211
WB_GS_SP_POP_DPND_chg10,207
WB_GS_SE_SEC_ENRL_VO_FE_ZS,203
WB_GS_SE_PRM_ENRR,191
WB_GS_SE_ENR,187
WB_GS_SP_DYN_LE60_IN_chg10,175
WB_GS_SP_POP_DPND_chg1,170
WB_GS_SP_DYN_LE60_IN_lag1,166
WB_GS_SP_POP_DPND_lag1,164
WB_GS_SP_POP_DPND_lag5,163
WB_GS_SP_DYN_LE60_IN_chg1,161
WB_GS_SE_PRM_ENRL_FE_ZS,159
WB_GS_SP_POP_DPND_lag3,158
WB_GS_SE_PRE_ENRR,156
WB_GS_SP_DYN_LE00_IN_chg10,156
WB_GS_SH_IMM_IDPT,156
WB_GS_SP_DYN_LE60_IN_lag5,152
WB_GS_SE_SEC_ENRR,151
WB_GS_SP_DYN_LE60_IN_lag3,145
WB_GS_SH_STA_MMRT,145
WB_GS_SP_DYN_LE00_IN_lag10,143
WB_GS_SP_DYN_LE60_IN_chg5,140
WB_GS_SE_XPD_GD_ZS,139
WB_GS_SP_DYN_LE00_IN_lag1,135
WB_GS_SE_SEC_ENRL_VO_lag10,129
WB_GS_SE_TER_ENRR,126
WB_GS_SH_IMM_MEAS,121
WB_GS_SE_PRM_ENRR_lag10,120
WB_GS_SE_SEC_ENRL_MA_VO_ZS,120
WB_GS_SP_POP_DPND_chg5,115
WB_GS_SP_DYN_LE00_IN_lag3,112
WB_GS_SE_PRM_ENRL_FE_ZS_lag10,110
WB_GS_SP_DYN_LE00_IN_chg1,109
WB_GS_SP_DYN_LE60_IN_chg3,109
WB_GS_SE_PRM_ENRL_FE_ZS_lag3,106
WB_GS_SE_SEC_ENRL_VO_lag5,106
WB_GS_SE_SEC_ENRL_VO_lag1,103
